,category
0,
1,Business and economy
2,International relations
3,Law and crime
4,Armed conflicts and attacks
5,Arts and culture
6,Sport
7,Politics and elections
8,Television
9,Games
10,Science and technology
11,Health
12,Disasters and accidents
13,Religion
14,Health and environment
15," A sandstorm in Iraq on April 27, 2005"
16, Ernest Smith being moved into the church.
17, River Thames whale
18, Samuel Alito
19,Discoveries
20,Environment
21,Weather
22,Disasters
23,Science
24,Politics
25,Sports
26,Arts and entertainment
27,Armed conflicts and incidents
28,Laws and crimes
29,"Arts, culture and entertainment"
30,Business and economics
31,Law
32,International Relations
33,Law and Crime
34,Politics 
35,Arts and Culture
36,Armed conflict and incidents
37,Politics and government
38,Entertainment
39,Law and crimes
40,Business and Economy
41,Disasters 
42,Science 
43,Business
44,Art and culture
45,Sport 
46,Science and environment
47,"Arts, culture"
48,Law and crime 
49,Business and economy 
50,Technology
51,Home Video
52,Business and Economics
53,Arts & Culture
54,Armed conflicts
55,International relations:
56,Arts and culture 
57,Armed conflicts and attacks 
58,Armed conflicts 
59,Bird Deaths
60,Armed conflict and attacks
61,Science and medicine
62,Transport
63,Health and wellness
64,Culture
65,Arab Spring
66,Business and economy   
67,History
68, Transport :
69,Sports 
70, Armed conflicts and attacks
71, Arts and culture
72, Business and economics
73, Disasters
74, International relations
75, Law and crime
76, Politics and elections
77, Science
78, Sport
79, Environment
80,Disaster 
81,Natural history
82,Business and finance
83,Disaster
84,International relations 
85,Transportation
86,Movies
87,Intragalactic relations
88,Other
89,Economics
90,Economics and business
91,Emergency Alerts
92,Law and Order
93,Business and economies
94,Politics and elections 
95, Armed conflict and attacks
96, Business and economy
97,"Arrests, detentions and prosecutions"
98,Geography
99,Sports and Recreation
100,Legal and crime
101,Science and health
102,Law enforcement and crime
103,Politics and protests
104,Armed conflict
105,Conflicts
106,Politics and elections:
107,Education
108,Finance
109,Accidents and disasters
110,"Science, medicine and technology"
111,Politics and election
112,Religious affairs
113,Environment and health
114,Video Games
115,Religion and spirituality
116,Armed attacks and conflicts
117,Media and people
118,Armed attacks
119,Deaths
120,Life and death
121,Business and Finance
122,Society
123,Literature
124,Science and technology 
125,Human rights
126,Religion and diplomacy
127,Politics and Elections
128,Science and Technology
129,Innovation and technology
130,Love
131,Exploration
132,Media
133,Physics
134,Medicine
135,Disaster and accidents
136,Disasters and accidents 
137,Armed conflict and attacks 
138,Films
139,"Disasters and accidents,"
140, Disasters and accidents
141, Science and technology
142, Religion
143,Law and justice
144,Crimes
145,Business Environmental
146,Attacks and conflicts
147,Technology and science
148,Natural disasters
149,Law & crime
150,Armed conflict and attack
151,Health and medicine
152,Gaming
153,Disasters and impacts
154,Business and Video games
155,Music
156,Laws and crime
157,Armed Conflicts and attacks
158, Defence
159,Politics & Elections
160,International Relations 
161,Conflicts and attacks 
162,Economy and finance
163,"Law, crime and accidents"
164,Attacks and armed conflicts
165,Law and order
166,Disasters and Accidents
167,Armed conflicts and attack
168,Health and science
169,Health 
170,Elections and politics
171,Arts and cuture
172,Accidents
173,Conflicts and attacks
174,Business and economic
175,Businesses and economy
176,International relations  
177,Business and the economy
178,Political elections
179,Miscellaneous news
180,Health and Medicine
181,Accidents and Disasters
182,International relation
183,Disasters and accident
184, Health and medicine
185,Armed conflicts and attacks:
186,Business and economy:
187,Law and crime:
188,Sports:
189,Art & literature
190,Business and economics 
191,Armed conflicts and attacks   
192,Crime
193,Science and nature
194,Disasters and incidents
195,Health and medicine 
196,Culture and media
197,Arts and cultures
198,Health and environment 
199,Crime and law
200,Arts and culture;
201,Video games
202,Science and research
203,Disasters and accidents  
204,Business  and  economy
205,Art and culture 
